,Lat_Lon,Lat,Lon,Artifbright,Radiance,AvgLux,Visit,People_Initials,Date,Moon,DailyMaxTemp_F,DailyMaxTemp_C,Day_Temp_30min,MeanTemp_10to4,Day_Weather,HOBO_ID,Stick_No,Trap,Day_Start_Time,Trap_Pickup_Time,Day_Total_Skeet,Day_Total_albo,Day_Ae_tris,Day_Ae_vex,Day_Ae_jap,Day_Cq_pert,Day_Cx_sp,Day_An_quad,Day_An_punct,Day_An_sp,SBCC,Notes_Field,Night_Total_Skeet,Night_Total_albo,Night_Ae_albo_F,Night_Ae_albo_M,Night_Ae_cana_F,Night_Ae_cana_M,Night_Ae_hender_F,Night_Ae_hender_M,Night_Ae_japo_F,Night_Ae_japo_M,Night_Ae_tris_F,Night_Ae_tris_M,Night_Ae_trivit_F,Night_Ae_trivit_M,Night_Ae_vex_F,Night_Ae_vex_M,Night_Cq_pert_F,Night_Cq_pert_M,Night_Cx_sp_F,Night_Cx_sp_M,Night_An_quad_F,Night_An_quad_M,Night_An_punct_F,Night_An_punct_M,Night_Ps_howar_F,Night_Ps_howar_M,Unknown
42,"38.67022, -90.36626",38.67022,-90.36626,4690,20.3,0,1,LJ_LT,7/27/2023,0.67,100,37.8,33,27.58,sunny,6318,3,B,64740,26400,2,2,0,0,0,0,0,0,0,0,Y,NA,17,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
43,"38.65368, -90.41469",38.65368,-90.41469,3560,12.8,0,1,LJ_LT,7/27/2023,0.67,100,37.8,32.5,26.42,sunny,8327,10,D,68040,27960,24,24,0,0,0,0,0,0,0,0,Y,"error with stick number written, 10 written twice for two different sites",9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
44,"38.71068, -90.4186",38.71068,-90.4186,4890,45.1,0.16,1,LJ_LT,7/27/2023,0.67,100,37.8,36,29.94,sunny,4456,7,A,62760,25200,20,20,0,0,0,0,0,0,0,0,Y,NA,20,12,8,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
45,"38.65207, -90.42964",38.65207,-90.42964,3350,9.2,0,1,LJ_LT,7/27/2023,0.67,100,37.8,31,27.86,sunny,6319,9,E,69180,28560,12,12,0,0,0,0,0,0,0,0,Y,did not get HOBO data,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
46,"38.65282, -90.31912",38.65282,-90.31912,6500,36.1,0.04,1,LJ_KD,7/31/2023,0.98,84,28.9,26,23.79,light_rain,4456,7,A,61860,23040,15,15,0,0,0,0,0,0,0,0,Y,"tiny stem caught on funnel, leaving it not completely flush but the gap was small and probably didn't affect who could get out",6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
47,"38.65978, -90.33032",38.65978,-90.33032,5870,23.8,0,1,LJ_KD,7/31/2023,0.98,84,28.9,26,21.61,overcast,8327,8,D,66420,24600,16,16,0,0,0,0,0,0,0,0,Y,NA,20,16,14,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
48,"38.66039, -90.33202",38.66039,-90.33202,5870,23.8,0,1,LJ_KD,7/31/2023,0.98,84,28.9,25.5,22.91,overcast,6319,9,E,67740,24900,20,20,0,0,0,0,0,0,0,0,Y,NA,12,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0
49,"38.65652, -90.32025",38.65652,-90.32025,6180,26,0,1,LJ_KD,7/31/2023,0.98,84,28.9,25.5,23.5,light_rain,6318,3,B,63240,23520,15,15,0,0,0,0,0,0,0,0,Y,NA,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
50,"38.65916, -90.31697",38.65916,-90.31697,6180,27.7,0,1,LJ_KD,7/31/2023,0.98,84,28.9,26,21.13,overcast,6343,10,C,64980,24060,27,27,0,0,0,0,0,0,0,0,Y,NA,10,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0
51,"38.58447, -90.39409",38.58447,-90.39409,3720,18.2,0,1,LJ_AW,8/1/2023,1,86,30,35.82,23.51,sunny,6318,3,B,62940,22380,73,73,0,0,0,0,0,0,0,0,Y,so many!,42,32,15,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,0
52,"38.62262, -90.46147",38.62262,-90.46147,3030,17,0,1,LJ_AW,8/1/2023,1,86,30,25,23.04,sunny,8327,8,D,69180,24180,16,15,0,1,0,0,0,0,0,0,Y,set up at side of house and caught for 5 minutes and caugh 3 albo females,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"38.55025, -90.39806",38.55025,-90.39806,3560,38.7,0,1,LJ_AW,8/1/2023,1,86,30,24.5,22.96,sunny,6319,9,E,71280,18300,27,27,0,0,0,0,0,0,0,0,Y,so many; issue with HOBO 6319,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
54,"38.57976, -90.3864",38.57976,-90.3864,3670,18.3,0.4,1,LJ_AW,8/1/2023,1,86,30,36,23.81,sunny,4456,7,A,61200,21780,24,24,0,0,0,0,0,0,0,0,Y,NA,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"38.57916, -90.42449",38.57916,-90.42449,3560,17.1,0.04,1,LJ_AW,8/1/2023,1,86,30,27,22.96,sunny,6343,10,C,65100,23040,9,9,0,0,0,0,0,0,0,0,Y,NA,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,"38.62949, -90.29251",38.62949,-90.29251,7770,54.5,0.14,2,LJ_TR,8/2/2023,0.99,83,28.3,25,23.75,cloudy_rained,6319,3,C,66060,24480,60,59,0,1,0,0,0,0,0,0,Y,NA,9,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
57,"38.6108, -90.25575",38.6108,-90.25575,7940,38.2,0.34,2,LJ_TR,8/2/2023,0.99,83,28.3,26.5,22.98,cloudy_rained,8327,8,A,62760,22800,34,32,0,2,0,0,0,0,0,0,Y,NA,10,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0
58,"38.60546, -90.34378",38.60546,-90.34378,5250,27.2,0,2,LJ_TR,8/2/2023,0.99,83,28.3,24.5,22.67,cloudy_rained,6318,9,E,69780,25800,2,2,0,0,0,0,0,0,0,0,Y,few,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"38.62458, -90.3037",38.62458,-90.3037,7280,48.2,0.14,2,LJ_TR,8/2/2023,0.99,83,28.3,26.5,23.83,cloudy_rained,4456,7,D,68040,24840,4,4,0,0,0,0,0,0,0,0,Y,few,4,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,"38.62639, -90.28543",38.62639,-90.28543,8270,112.7,0.12,2,LJ_TR,8/2/2023,0.99,83,28.3,25,22.65,cloudy_rained,6343,10,B,64560,24000,30,28,0,2,0,0,0,0,0,0,Y,NA,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,"38.59591, -90.60173",38.59591,-90.60173,2070,8.5,12.26,2,LJ_LT,8/7/2023,0.6,83,28.3,25,20.31,sunny,6343,8,C,65940,25680,14,14,0,0,0,0,0,0,0,0,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"38.59823, -90.5981",38.59823,-90.5981,2320,8.3,0,2,LJ_LT,8/7/2023,0.6,83,28.3,25.5,20.19,sunny,6319,9,B,64560,25140,23,23,0,0,0,0,0,0,0,0,Y,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"38.66461, -90.54289",38.66461,-90.54289,2690,29.7,0.08,1,LJ_LT,8/7/2023,0.6,83,28.3,29.5,23.06,sunny,8327,10,A,62100,24060,7,5,1,0,0,1,0,0,0,0,Y,NA,7,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0
64,"38.56617, -90.52694",38.56617,-90.52694,2370,18.4,0,1,LJ_LT,8/7/2023,0.6,83,28.3,24,21.5,sunny,6318,7,D,68280,27000,44,44,0,0,0,0,0,0,0,0,Y,NA,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"38.64634, -90.26334",38.64634,-90.26334,9060,91.7,0,2,LJ_TR,8/8/2023,0.49,88,31.1,29.5,23.25,sunny,NA,10,A,61380,25260,35,35,0,0,0,0,0,0,0,0,Y,NA,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,"38.64735, -90.25915",38.64735,-90.25915,9060,90.6,8.48,2,LJ_TR,8/8/2023,0.49,88,31.1,33.5,26.17,sunny,NA,9,D,65280,26280,4,4,0,0,0,0,0,0,0,0,N,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,"38.64683, -90.26342",38.64683,-90.26342,9060,91.7,0,2,LJ_TR,8/8/2023,0.49,88,31.1,31.5,23.9,sunny,NA,8,B,62700,25560,2,2,0,0,0,0,0,0,0,0,Y,NA,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"38.64649, -90.26176",38.64649,-90.26176,9060,90.6,0,2,LJ_TR,8/8/2023,0.49,88,31.1,28,22.6,sunny,NA,7,C,64080,26040,6,6,0,0,0,0,0,0,0,0,N,NA,11,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
69,"38.64281, -90.35817",38.64281,-90.35817,5270,17.2,0.06,2,LJ_LT,8/9/2023,0.39,80,26.7,23,21.23,overcast,NA,10,C,65160,25980,15,14,0,0,0,0,0,0,0,1,Y,NA,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
70,"38.62491, -90.38063",38.62491,-90.38063,3810,9.2,0,2,LJ_LT,8/9/2023,0.39,80,26.7,23.5,20.98,overcast,NA,8,B,63480,24480,18,16,0,1,0,1,0,0,0,0,Y,NA,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
71,"38.65207, -90.42964",38.65207,-90.42964,3350,9.2,0,2,LJ_LT,8/9/2023,0.39,80,26.7,23.5,21.15,overcast,NA,7,D,67020,27000,7,5,0,2,0,0,0,0,0,0,Y,NA,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"38.64172, -90.39792",38.64172,-90.39792,3680,16.8,0,2,LJ_LT,8/9/2023,0.39,80,26.7,25.5,21.13,overcast,NA,9,A,61680,25320,22,22,0,0,0,0,0,0,0,0,Y,NA,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,"38.65606, -90.38944",38.65606,-90.38944,3790,14.9,0.08,2,LJ_LT,8/10/2023,0.29,88,31.1,26.5,21.83,sunny,NA,10,C,65880,26700,1,1,0,0,0,0,0,0,0,0,Y,1 mosquito on shutter lid that I let go; uknown ID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,"38.67022, -90.36626",38.67022,-90.36626,4690,20.3,0,2,LJ_LT,8/10/2023,0.29,88,31.1,28.5,21.73,sunny,NA,9,B,64140,26160,35,35,0,0,0,0,0,0,0,0,Y,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,"38.65368, -90.41469",38.65368,-90.41469,3560,12.8,0,2,LJ_LT,8/10/2023,0.29,88,31.1,27.5,21.96,sunny,NA,8,D,67260,27900,18,18,0,0,0,0,0,0,0,0,Y,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"38.71068, -90.4186",38.71068,-90.4186,4890,45.1,0.16,2,LJ_LT,8/10/2023,0.29,88,31.1,27.5,21.35,sunny,NA,7,A,61980,25320,74,73,0,1,0,0,0,0,0,0,Y,so many!,21,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
